Trial Phase,Trial Number,Time,Position X,Position Y,Position Z
1,24,0.3533334,1.107177,-1.889991,0.6539686
1,24,0.4547192,1.052702,-1.821948,0.5839351
1,24,0.5564209,0.872714,-1.463141,0.4669535
1,24,0.6621777,0.9047527,-1.542587,0.5480371
1,24,0.7631959,0.9292417,-1.774506,0.935176
1,24,0.8639005,0.9255805,-1.889979,1.067194
1,24,0.9651307,0.7082913,-1.825092,0.9879396
1,24,1.065968,0.2040421,-1.810492,0.8592416
1,24,1.167113,-0.1294825,-1.828133,0.5988896
1,24,1.268492,-0.1916412,-1.88998,0.5229813
1,24,1.369287,0.1366625,-1.79711,0.4739977
1,24,1.470115,0.538136,-1.788831,0.5498803
1,24,1.570244,1.059685,-1.889978,0.6034267
1,24,1.671116,1.363989,-1.889977,0.7205777
1,24,1.77124,1.524072,-1.889975,0.7987564
1,24,1.872043,1.353719,-1.889988,0.9455031
1,24,1.97283,0.915684,-1.88998,1.257096
1,24,2.073665,0.6916912,-1.889977,1.367887
1,24,2.175486,0.4910288,-1.889976,1.464351
1,24,2.276508,0.3727093,-1.889975,1.455165
1,24,2.376995,0.3508208,-1.889976,1.308817
1,24,2.477292,0.3464065,-1.889977,1.049982
1,24,2.578757,0.2975655,-1.702403,0.5687194
1,24,2.679063,0.1859209,-1.69935,0.293063
1,24,2.779491,0.1494349,-1.69506,0.02830049
1,24,2.87959,0.1560261,-1.694071,0.009452194
1,24,2.980096,0.2964526,-1.88902,0.3351009
1,24,3.080853,0.6488313,-1.889977,0.656392
1,24,3.184688,1.126922,-1.889976,0.8446477
1,24,3.285187,1.32238,-1.889975,0.8590596
1,24,3.386161,1.275455,-1.889976,0.6967766
1,24,3.488792,1.026051,-1.889977,0.4873694
1,24,3.590182,0.4783564,-1.788159,0.3866328
1,24,3.69104,0.1911942,-1.779573,0.4626613
1,24,3.791796,0.08596596,-1.772017,0.616272
1,24,3.892775,0.03617093,-1.889975,0.9688709
1,24,3.992863,0.1085795,-1.889975,1.244739
1,24,4.093783,0.3439941,-1.889976,1.511094
1,24,4.195379,0.7373995,-1.889976,1.641671
1,24,4.297725,1.128764,-1.889976,1.567628
1,24,4.398691,1.407303,-1.889976,1.120121
1,24,4.49872,1.284939,-1.889976,0.8179825
1,24,4.598901,1.047562,-1.889976,0.5949234
1,24,4.700089,0.5816774,-1.88909,0.5579707
1,24,4.804393,0.5264356,-1.889975,0.8149251
1,24,4.905744,0.5341963,-1.889975,1.111966
1,24,5.00678,0.5419161,-1.889975,1.410999
1,24,5.107328,0.6240645,-1.889975,1.493306
1,24,5.208097,0.7957736,-1.889976,1.294964
1,24,5.308236,0.8754561,-1.889976,0.9771045
1,24,5.409164,0.9928823,-1.889976,0.6189976
1,24,5.510028,1.014809,-1.889975,0.4231945
1,24,5.610029,1.022671,-1.889975,0.3573951
1,24,5.712006,0.898322,-1.889976,0.5134121
1,24,5.812481,0.4261639,-1.889976,0.8426566
1,24,5.913866,0.09230199,-1.889975,0.9713886
1,24,6.013982,-0.135818,-1.889975,1.022269
1,24,6.115214,-0.4358584,-1.889975,0.9426279
1,24,6.216786,-0.4283495,-1.889975,0.9577432
1,24,6.318069,-0.1508466,-1.889975,1.120745
1,24,6.422895,0.1495888,-1.889975,0.9140728
1,24,6.525231,0.3403446,-1.889975,0.9371407
1,24,6.62651,0.5194235,-1.889975,1.018976
1,24,6.727742,0.7630452,-1.889976,1.145376
1,24,6.829074,1.022118,-1.889975,1.255865
1,24,6.930759,1.195884,-1.889975,1.314984
1,24,7.03177,1.243005,-1.889975,1.277748
1,24,7.132847,1.332321,-1.889975,1.035873
1,24,7.233562,1.19553,-1.889975,0.9048939
1,24,7.333718,0.8183244,-1.889976,0.9364741
1,24,7.434757,0.5366221,-1.889976,0.8997986
1,24,7.534856,0.2468507,-1.889975,0.9475263
1,24,7.635675,0.06372094,-1.889975,1.056676
1,24,7.736397,0.005338818,-1.889975,1.196399
1,24,7.837393,-0.02295765,-1.889975,1.354145
1,24,7.93781,0.03351074,-1.889975,1.487146
1,24,8.038309,0.279199,-1.889976,1.485157
1,24,8.14146,0.6314095,-1.889976,1.171613
1,24,8.243347,0.8503731,-1.889976,1.006819
1,24,8.343416,0.98388,-1.889976,0.7905543
1,24,8.444312,0.9656008,-1.889975,0.6502388
1,24,8.544402,0.8606219,-1.889975,0.5592743
1,24,8.644605,0.6980733,-1.843925,0.4853306
1,24,8.744733,0.5678344,-1.842645,0.4327043
1,24,8.845286,0.3698213,-1.837112,0.4005588
1,24,8.945517,0.1358225,-1.834808,0.4076719
1,24,9.045687,-0.02593324,-1.889975,0.4314228
1,24,9.146667,-0.06975231,-1.889975,0.4765404
1,24,9.247245,-0.04967716,-1.889975,0.5306093
1,24,9.348246,-0.04765025,-1.889975,0.6050448
1,24,9.448527,0.04412237,-1.889975,0.7907301
1,24,9.549763,0.06213266,-1.889975,0.9114951
